--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile

Detailed RTL Component Info :
-----Add :
               Total_Num :18
-----Sub :
               Total_Num :8
-----AddSub :
               Total_Num :0

Add_Sub_AddSub: Initial Mapping Report :
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|Module Name                            |Type     |Count    |Number   |Location/Inst Name                                                                           |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|U_ipml_fifo_ctrl                       |Add      |12       |1        |../ipcore/async_fifo/rtl/ipml_fifo_ctrl_v1_4_async_fifo.v:101                                |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|U_ipml_fifo_ctrl                       |Add      |12       |1        |../ipcore/async_fifo/rtl/ipml_fifo_ctrl_v1_4_async_fifo.v:153                                |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|U_ipml_fifo_ctrl                       |Sub      |12       |1        |u_ip_fifo/u_async_fifo/U_ipml_fifo_async_fifo/U_ipml_fifo_ctrl/N286_5                        |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|U_ipml_fifo_ctrl                       |Sub      |12       |1        |u_ip_fifo/u_async_fifo/U_ipml_fifo_async_fifo/U_ipml_fifo_ctrl/N322_5                        |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Add      |24       |1        |../../rtl/adc_rd.v:164                                                                       |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Add      |24       |1        |../../rtl/adc_rd.v:344                                                                       |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Sub      |8        |1        |../../rtl/adc_rd.v:348                                                                       |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Add      |8        |1        |../../rtl/adc_rd.v:353                                                                       |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Add      |8        |1        |../../rtl/adc_rd.v:365                                                                       |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Add      |24       |1        |../../rtl/adc_rd.v:372                                                                       |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_adc_rd                               |Add      |10       |1        |u_adc_rd/N638_1                                                                              |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_divider_32                           |Add      |6        |1        |../../rtl/divider_32.v:43                                                                    |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_divider_32                           |Sub      |65       |1        |../../rtl/divider_32.v:46                                                                    |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_f_measure                            |Add      |32       |1        |../../rtl/f_measure.v:117                                                                    |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_f_measure                            |Add      |32       |1        |../../rtl/f_measure.v:119                                                                    |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_f_measure                            |Add      |28       |1        |../../rtl/f_measure.v:57                                                                     |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_f_measure                            |Add      |27       |1        |../../rtl/f_measure.v:79                                                                     |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_force_trig                           |Sub      |26       |1        |../../rtl/force_trig.v:58                                                                    |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_force_trig                           |Add      |32       |1        |../../rtl/force_trig.v:63                                                                    |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_ip_fifo                              |Add      |10       |1        |../../rtl/ip_fifo.v:167                                                                      |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_ip_fifo                              |Add      |10       |1        |../../rtl/ip_fifo.v:234                                                                      |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_key_debounce_force_trig              |Sub      |20       |1        |../../rtl/key_debounce.v:43                                                                  |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_key_debounce_run                     |Sub      |20       |1        |../../rtl/key_debounce.v:43                                                                  |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_key_debounce_single                  |Sub      |20       |1        |../../rtl/key_debounce.v:43                                                                  |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_spi_drive                            |Add      |32       |1        |../../rtl/my_spi_drive.v:124                                                                 |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|
|u_state_control                        |Add      |5        |1        |u_state_control/N191_10                                                                      |
|---------------------------------------|---------|---------|---------|---------------------------------------------------------------------------------------------|

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

